;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;2023;
;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет;Для мужчин, достигших 60 лет;Для женщин, достигших 55 лет
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Центральный федеральный округ;16,41;25,79;16,59;25,99;16,72;26,10;16,82;26,15;17,28;26,55;17,42;26,66;17,89;26,99;16,28;25,45;15,47;23,62;17,73;26,60;18,91;27,64
Северо-Западный федеральный округ;15,74;25,44;15,93;25,61;16,04;25,67;16,13;25,80;16,45;26,11;16,65;26,38;17,01;26,60;15,50;25,32;14,54;23,57;16,66;26,06;17,79;27,05
Южный федеральный округ;16,16;25,39;16,10;25,30;16,20;25,37;16,39;25,56;16,81;25,86;17,04;26,05;17,11;26,21;15,66;24,87;14,65;22,76;16,73;25,66;17,75;26,68
Северо-Кавказский федеральный округ;17,38;25,90;17,61;25,96;17,70;26,15;17,94;26,36;18,27;26,65;18,50;26,89;18,77;26,92;16,80;25,30;16,56;24,04;18,54;26,57;19,98;27,86
Приволжский федеральный округ;15,17;25,20;15,28;25,41;15,39;25,49;15,63;25,72;15,98;26,04;16,02;26,11;16,36;26,47;14,69;24,60;14,09;23,00;16,26;26,28;16,94;27,03
Уральский федеральный округ;15,10;25,20;15,26;25,30;15,34;25,33;15,41;25,62;15,93;25,99;15,94;26,01;16,23;26,33;14,74;24,72;14,13;23,15;16,28;26,31;17,03;27,01
Сибирский федеральный округ;14,91;24,67;14,97;24,86;15,18;24,93;15,15;25,16;15,46;25,37;15,46;25,46;15,72;25,58;14,25;24,20;13,56;22,42;15,29;25,18;16,23;26,22
Дальневосточный федеральный округ;14,45;23,82;14,65;24,04;14,52;24,09;14,74;24,29;14,98;24,56;15,06;24,71;15,06;24,77;13,96;23,62;13,32;22,13;14,94;24,37;15,82;25,44
