;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;
Центральный федеральный округ;109,6;109,7;108,8;107,4;89,0;102,8;104,5;103,1;100,9;100,2;98,7;100,7;
Белгородская область;107,5;111,2;112,9;111,9;101,1;109,6;110,9;105,2;102,7;102,5;102,8;103,2;
Брянская область;107,2;108,2;112,4;106,9;91,8;105,2;109,2;109,3;101,9;104,4;102,2;100,8;
Владимирская область;101,0;108,0;114,8;101,8;95,4;107,3;103,5;102,8;101,9;101,3;98,8;101,0;
Воронежская область;106,4;107,8;113,2;108,3;96,5;101,3;111,5;109,3;102,2;105,8;100,3;101,2;
Ивановская область;106,2;108,3;113,3;100,6;93,8;102,5;101,2;97,4;106,1;90,9;102,5;97,5;
Калужская область;106,0;107,1;112,9;116,0;93,7;110,4;113,2;109,2;96,9;102,3;93,9;101,9;
Костромская область;105,3;108,1;107,8;104,8;90,9;107,2;104,7;105,3;103,3;101,4;99,6;97,9;
Курская область;106,1;106,7;110,5;104,9;96,7;103,8;109,1;105,0;104,4;104,6;102,9;103,7;
Липецкая область;102,2;108,5;108,3;104,0;93,9;104,4;105,3;102,0;103,5;105,1;101,0;101,5;
Московская область;106,7;107,8;109,6;107,3;89,6;106,5;106,8;102,8;100,3;98,2;100,7;101,4;
Орловская область;109,5;105,4;107,1;107,2;86,5;104,2;114,2;104,6;102,6;102,2;103,1;98,6;
Рязанская область;106,7;108,8;105,0;104,4;94,1;105,2;109,3;105,2;102,7;99,3;98,5;99,4;
Смоленская область;105,7;106,9;109,9;108,5;96,2;108,4;105,3;104,8;105,4;101,2;99,8;98,5;
Тамбовская область;105,6;108,3;111,6;106,8;100,4;97,8;113,7;109,6;109,9;106,4;107,9;96,1;
Тверская область;103,1;112,0;108,8;108,3;92,2;104,3;106,7;100,6;101,7;99,6;100,2;102,2;
Тульская область;107,6;110,2;113,0;108,2;93,8;104,4;105,9;102,7;104,8;106,1;105,7;104,2;
Ярославская область;107,3;111,7;107,4;101,6;92,4;103,6;107,4;104,7;102,7;102,1;100,6;101,4;
г.Москва;110,5;108,8;107,0;106,7;86,4;100,3;101,8;101,6;99,4;98,8;96,6;99,8;
