;2013 г.;;2014 г.;;2015 г.;;2016 г.;;2017 г.;;2018 г.;;2019 г.;;2020 г.;;2021 г.;;2022 г.;;2023 г.;
;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,;Для мужчин,;Для женщин,
;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших;достигших
;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет;60 лет;55 лет
Белгородская область;15,77;25,47;16,00;25,59;15,70;25,90;15,90;25,82;16,12;26,16;16,22;26,20;16,57;26,36;15,21;25,07;14,45;22,90;16,34;26,03;17,15;26,98
Брянская область;14,71;25,04;14,83;25,27;14,85;25,30;14,80;25,57;14,81;25,79;14,92;25,93;15,59;26,17;14,50;24,64;13,53;22,21;15,32;25,59;16,09;26,89
Владимирская область;14,32;24,59;14,51;24,94;14,60;24,94;14,77;24,96;15,35;25,54;15,17;25,54;15,50;25,98;14,42;24,39;13,52;22,41;15,08;25,23;16,04;26,24
Воронежская область;15,45;25,56;15,69;25,63;15,78;25,99;15,96;25,99;16,37;26,13;16,35;26,22;16,90;26,72;15,48;25,32;14,28;22,74;16,37;25,91;17,21;26,89
Ивановская область;14,49;24,62;14,21;24,79;14,58;24,93;14,43;24,99;14,72;25,08;14,62;25,16;14,91;25,32;13,97;24,36;12,86;22,59;14,59;25,11;15,62;26,14
Калужская область;15,39;25,27;15,26;25,71;15,82;25,43;15,57;25,46;15,86;25,82;16,18;25,72;16,39;26,26;14,91;24,56;14,41;22,98;16,50;25,92;17,36;26,78
Костромская область;14,27;24,21;14,24;24,69;14,52;24,40;14,62;24,61;14,75;25,13;15,21;25,13;15,12;25,78;14,24;24,33;13,22;22,15;14,92;25,09;15,88;26,04
Курская область;14,82;24,84;14,52;24,83;14,68;24,97;14,80;25,08;14,94;25,41;15,23;25,34;15,69;25,70;14,13;24,21;13,17;21,54;15,02;25,17;16,33;26,53
Липецкая область;15,04;25,11;15,20;25,42;14,91;25,38;15,17;25,31;15,37;25,81;15,89;25,99;15,92;26,23;14,25;24,10;13,51;21,87;15,82;25,67;16,39;26,47
Московская область;15,80;25,22;16,12;25,33;16,72;25,78;16,79;25,78;17,40;26,15;17,56;26,25;18,09;26,45;16,35;24,80;15,83;23,40;17,94;25,85;18,94;26,68
Орловская область;14,49;24,86;14,64;25,12;14,74;25,24;14,82;24,95;14,97;25,43;15,09;25,49;15,66;25,69;14,12;24,24;13,53;22,30;14,88;24,94;15,96;25,78
Рязанская область;15,24;25,62;15,21;25,50;15,41;25,71;15,35;25,79;15,52;26,26;15,90;26,08;15,95;26,47;14,54;24,76;13,46;22,41;15,65;25,99;16,54;26,93
Смоленская область;14,37;24,59;14,45;24,94;14,39;24,86;14,46;24,96;14,85;25,11;14,86;25,41;15,24;25,58;14,23;24,48;12,95;22,20;14,75;24,99;15,86;26,44
Тамбовская область;14,95;25,44;15,12;25,53;15,19;25,64;15,51;25,77;15,97;26,18;15,81;26,08;16,43;26,59;15,08;24,92;14,31;22,69;16,04;25,66;16,73;26,71
Тверская область;14,21;24,13;14,22;24,48;14,47;24,68;14,50;24,63;14,82;24,92;14,85;25,04;15,21;25,41;14,13;24,26;13,26;22,54;14,83;24,73;15,88;25,80
Тульская область;14,76;24,81;15,05;25,02;15,03;25,25;15,22;25,30;15,63;25,54;15,91;25,78;16,38;26,13;14,93;24,68;14,34;23,10;15,88;25,73;17,05;26,64
Ярославская область;14,61;25,15;14,94;25,39;15,02;25,29;14,96;25,31;15,10;25,70;15,39;25,84;15,64;26,09;14,26;24,72;13,21;22,87;15,17;25,41;15,99;26,55
г.Москва;20,23;27,94;20,40;28,13;20,20;27,98;20,22;28,05;20,90;28,60;20,93;28,75;21,49;29,10;19,28;27,40;18,54;25,87;21,66;29,24;23,28;30,38
Республика Карелия;14,71;24,53;14,59;24,93;14,37;24,69;14,50;24,86;14,72;24,87;14,79;25,06;14,87;25,42;13,78;24,15;12,38;21,67;14,43;24,11;15,19;25,61
Республика Коми;14,21;24,38;14,08;24,41;14,26;24,64;14,40;24,68;14,68;25,22;14,78;25,32;15,32;25,20;13,91;24,12;12,97;22,15;14,67;24,87;15,89;25,73
Архангельская область;14,84;25,21;15,05;25,31;15,20;25,44;15,39;25,43;15,60;25,87;15,62;25,92;15,79;26,08;14,66;25,13;13,22;22,99;15,24;25,10;16,46;26,56
   Ненецкий автономный округ;13,86;24,54;15,01;24,65;15,25;25,57;14,62;26,23;17,95;25,84;15,32;25,92;16,67;27,06;13,73;26,52;13,47;22,88;15,91;25,06;17,97;25,93
   Архангельская область без авт. округа;14,88;25,22;15,04;25,32;15,20;25,44;15,40;25,41;15,55;25,87;15,62;25,92;15,76;26,06;14,68;25,08;13,22;23,00;15,23;25,09;16,43;26,58
Вологодская область;14,36;24,78;14,36;25,07;14,57;25,15;14,31;25,13;14,60;25,39;14,80;25,54;14,89;25,95;14,17;25,11;13,21;23,21;14,86;25,71;15,55;26,47
Калининградская область;15,21;24,85;15,46;25,04;15,81;24,97;16,36;25,30;16,38;25,60;16,59;25,99;17,19;26,07;16,21;25,11;15,12;23,29;16,93;25,68;18,02;26,39
Ленинградская область;15,46;25,39;15,79;25,29;16,10;25,66;16,31;25,74;16,88;26,23;17,26;26,54;17,67;26,89;16,09;25,36;15,29;23,84;17,30;26,14;18,85;27,52
Мурманская область;14,50;24,14;14,35;24,43;14,57;24,69;14,27;24,53;14,40;24,94;14,96;24,74;14,56;25,09;13,17;23,77;12,44;21,61;14,48;24,60;15,34;25,35
Новгородская область;13,93;24,39;14,11;24,58;14,42;24,59;14,19;24,64;14,36;24,71;14,39;25,03;14,79;25,17;13,62;24,48;12,32;21,98;14,30;24,92;14,87;25,91
Псковская область;13,56;23,90;13,88;23,97;13,93;24,13;13,94;24,37;14,10;24,68;14,24;24,84;14,77;24,86;13,56;23,82;12,65;22,30;14,43;24,52;15,14;25,38
г.Санкт-Петербург;17,71;26,60;17,94;26,85;17,90;26,76;18,01;26,98;18,42;27,21;18,55;27,60;19,03;27,81;16,89;26,22;16,16;24,78;18,60;27,29;19,79;28,12
Республика Адыгея;16,14;25,42;15,92;25,34;16,37;25,62;16,72;25,47;16,64;26,02;17,43;25,91;17,16;26,09;16,47;25,36;15,15;23,68;16,91;25,68;18,19;27,49
Республика Калмыкия;15,50;25,52;15,70;25,43;16,34;25,82;16,21;26,12;16,07;25,73;16,22;26,41;16,56;27,40;15,18;25,27;14,62;23,13;16,58;26,30;17,94;27,54
Республика Крым;0,00;0,00;15,05;24,73;15,33;24,64;15,59;25,03;15,92;25,38;16,44;25,65;16,59;25,73;15,21;24,66;14,38;22,74;16,12;25,31;16,78;26,13
Краснодарский край;16,54;25,57;16,66;25,58;16,62;25,63;16,79;25,74;17,25;26,04;17,78;26,43;17,44;26,51;15,98;25,15;14,97;23,31;16,84;25,73;17,98;26,84
Астраханская область;15,53;25,28;15,78;24,85;16,01;25,19;15,87;25,39;16,39;25,53;15,97;25,42;16,37;25,59;14,81;23,78;13,66;21,39;15,77;24,79;16,75;25,75
Волгоградская область;16,03;25,61;16,10;25,72;16,17;25,69;16,36;25,95;16,81;26,19;16,86;26,26;17,16;26,60;15,48;24,81;14,57;22,49;17,06;26,22;18,01;27,09
Ростовская область;15,93;25,05;16,01;25,04;16,17;25,22;16,31;25,33;16,73;25,68;16,63;25,68;16,96;25,85;15,48;24,64;14,36;22,22;16,63;25,43;17,53;26,41
г. Севастополь;0,00;0,00;16,15;25,42;15,87;25,30;16,85;25,99;17,37;26,03;17,96;26,71;18,09;26,57;17,46;26,08;16,28;24,38;18,47;26,64;20,20;27,54
Республика Дагестан;19,01;26,56;19,07;26,58;19,57;27,08;19,97;27,33;20,32;27,47;20,93;28,24;21,45;28,30;18,45;26,25;19,02;25,56;20,68;27,98;22,74;29,30
Республика Ингушетия;21,53;28,03;21,42;28,34;20,66;28,66;21,22;28,81;21,37;28,52;21,19;28,83;21,09;29,14;19,00;26,80;18,20;24,59;20,89;27,20;22,49;27,75
Кабардино-Балкарская Республика;17,51;25,72;17,66;26,02;17,56;26,37;17,99;26,23;18,14;26,56;18,29;26,94;18,60;26,73;16,95;25,35;16,48;24,34;18,17;26,42;19,72;28,04
Карачаево-Черкесская Республика;17,39;26,05;17,80;26,34;17,96;26,04;17,90;26,46;17,98;26,65;19,07;27,08;18,78;27,11;17,32;25,17;16,27;24,03;18,65;26,82;20,04;28,37
Республика Северная Осетия – Алания;17,40;26,71;17,75;26,58;17,42;26,80;17,67;27,22;18,07;26,97;18,25;27,51;17,95;27,43;16,40;25,91;15,71;23,80;17,53;26,69;19,56;28,60
Чеченская Республика;16,83;24,16;16,68;23,81;16,45;23,99;16,62;24,17;16,76;24,65;17,36;24,44;17,73;24,54;14,13;21,71;15,17;22,07;17,06;24,50;18,54;25,64
Ставропольский край;16,34;25,61;16,74;25,70;16,85;25,75;16,98;25,98;17,34;26,43;17,29;26,40;17,63;26,44;16,34;25,32;15,63;23,54;17,70;26,14;18,62;27,18
Республика Башкортостан;15,55;25,31;15,64;25,43;15,61;25,57;15,98;25,79;16,35;26,18;16,52;26,27;16,74;26,56;15,05;24,59;14,58;23,16;17,03;26,80;17,46;27,37
